R01,White,255,255,255
R02,Burning Sand,255,163,139
R03,Tangerine,246,176,76
R04,Orange,255,103,31
R05,Tall Poppy,225,6,0
R06,Raspberry Pink,236,134,208
R07,Gray,155,155,155
R08,Emerald,36,222,91
R09,Dark Green,0,104,94
R10,Baby Blue,65,182,230
R11,Dark Blue,0,51,153
R12,Pastel Lavender,160,94,181
R13,Black,0,0,0
R14,Sandstorm,250,224,83
R15,Redwood,122,62,44
R16,Brown,92,71,56
R17,Light Brown,123,77,53
R18,Sand,204,153,102
R19,Bubble Gun,252,191,169
R20,Green,36,158,107
R21,Pastel Green,135,216,57
R22,Purple,51,0,114
R23,Royal Purple,100,53,155
R24,True Blue,20,123,209
R25,Hot Pink,255,52,179
R26,Magenta,219,33,82
R27,Yellow,255,209,0
R28,Lily Pink,234,184,228
R29,Pastel Yellow,246,235,97
R30,Shadow Green,153,214,234
R31,Sea Mist,158,229,176
R32,Beeswax,255,231,128
R33,Maverick,197,180,227
R34,Red,186,12,47
R35,Mona Lisa,247,206,215
R36,Old Pink,201,128,158
R37,Blue-Green,113,216,191
R38,Burgundy,171,37,86
R39,Yellow Orange,237,139,0
R40,Carnation Pink,241,167,220
R41,Metallic Gold,154,85,22
R42,Metallic Silver,125,124,121
R43,Dark Gray,118,119,119
R44,Sky Blue,170,220,235
R45,Medium Turquoise,0,178,169
R46,Bright Green,115,211,60
R47,Marigold,180,126,0
R48,Corn,255,199,44
R49,Mulberry Wood,114,25,95
R50,Mandys Pink,250,170,114
R51,Spring Sun,252,251,205
R52,Picasso,242,240,161
R53,Turquoise,105,179,231
R54,Light Blue,0,144,218
R57,Pistachio,173,220,145
R59,Bright Carrot,255,106,19
R63,Buccaneer,164,73,61
R64,Paprika,165,0,52
R66,Lavender,167,123,202
R68,Key Lomen Pie,206,220,0
R69,Green Tea,0,124,88
R70,Metallic Copper,88,87,53
R55,Black Rock,5,8,73
R58,Canary,243,234,93
R60,Blaze Orange,244,99,58
R61,Vanilla,243,207,179
R71,Tan,225,192,120
R72,Mine Shaft,40,40,40
R89,Drark Algae,155,188,17
R73,Jade Green,0,133,34
R74,Light Sea Blue,89,213,216
R91,Steel Blue,72,169,197
R75,Azure,0,174,214
R92,Dark Steel Blue,0,133,173
R76,Sea Blue,0,174,199
R77,Ghost While,239,239,239
R78,Ash Grey,209,209,209
R79,Light Gray,187,188,188
R90,Dark Olive,153,155,48
R81,Deer,205,178,119
R82,Clay,181,129,80
R83,Sienna,184,97,37
R84,Deep Chestnut,170,87,97
R85,Red Wine,92,19,27
R86,Goldenrod,234,170,0
R87,Coral Red,255,109,106
R88,Charcoal Gray,77,77,77
R80,Pastel Orange,255,197,110
R93,Brunswick Green,24,48,40
